K,err_rate
29,0.06
1,0.017241379310344827
3,0.017241379310344827
5,0.017241379310344827
7,0.034482758620689655
9,0.05172413793103448
11,0.05172413793103448
13,0.05172413793103448
15,0.034482758620689655
17,0.034482758620689655
19,0.034482758620689655
21,0.034482758620689655
23,0.034482758620689655
25,0.034482758620689655
27,0.034482758620689655
29,0.034482758620689655
1,0.08333333333333333
3,0.08333333333333333
5,0.041666666666666664
7,0.041666666666666664
9,0.041666666666666664
11,0.08333333333333333
13,0.0625
15,0.0625
17,0.041666666666666664
19,0.0625
21,0.08333333333333333
23,0.08333333333333333
25,0.08333333333333333
27,0.08333333333333333
29,0.08333333333333333
1,0.017241379310344827
3,0.017241379310344827
5,0.017241379310344827
7,0.017241379310344827
9,0.017241379310344827
11,0.017241379310344827
13,0.0
15,0.0
17,0.0
19,0.0
21,0.0
23,0.034482758620689655
25,0.034482758620689655
27,0.017241379310344827
29,0.017241379310344827
1,0.04918032786885246
3,0.06557377049180328
5,0.08196721311475409
7,0.04918032786885246
9,0.04918032786885246
11,0.04918032786885246
13,0.06557377049180328
15,0.06557377049180328
17,0.06557377049180328
19,0.09836065573770492
21,0.09836065573770492
23,0.11475409836065574
25,0.11475409836065574
27,0.13114754098360656
29,0.13114754098360656
1,0.038461538461538464
3,0.057692307692307696
5,0.038461538461538464
7,0.019230769230769232
9,0.057692307692307696
11,0.057692307692307696
13,0.057692307692307696
15,0.038461538461538464
17,0.038461538461538464
19,0.019230769230769232
21,0.019230769230769232
23,0.057692307692307696
25,0.057692307692307696
27,0.057692307692307696
29,0.057692307692307696
1,0.058823529411764705
3,0.0784313725490196
5,0.09803921568627451
7,0.058823529411764705
9,0.09803921568627451
11,0.0784313725490196
13,0.09803921568627451
15,0.09803921568627451
17,0.09803921568627451
19,0.09803921568627451
21,0.11764705882352941
23,0.09803921568627451
25,0.09803921568627451
27,0.11764705882352941
29,0.09803921568627451
1,0.01818181818181818
3,0.01818181818181818
5,0.01818181818181818
7,0.01818181818181818
9,0.0
11,0.0
13,0.01818181818181818
15,0.01818181818181818
17,0.01818181818181818
19,0.01818181818181818
21,0.01818181818181818
23,0.0
25,0.01818181818181818
27,0.01818181818181818
29,0.01818181818181818
1,0.0392156862745098
3,0.0392156862745098
5,0.0784313725490196
7,0.0392156862745098
9,0.0392156862745098
11,0.0392156862745098
13,0.0392156862745098
15,0.058823529411764705
17,0.058823529411764705
19,0.058823529411764705
21,0.058823529411764705
23,0.0784313725490196
25,0.058823529411764705
27,0.058823529411764705
29,0.058823529411764705
1,0.043478260869565216
3,0.043478260869565216
5,0.043478260869565216
7,0.043478260869565216
9,0.043478260869565216
11,0.043478260869565216
13,0.043478260869565216
15,0.043478260869565216
17,0.043478260869565216
19,0.043478260869565216
21,0.043478260869565216
23,0.043478260869565216
25,0.043478260869565216
27,0.021739130434782608
29,0.043478260869565216
1,0.03571428571428571
3,0.05357142857142857
5,0.05357142857142857
7,0.05357142857142857
9,0.017857142857142856
11,0.017857142857142856
13,0.05357142857142857
15,0.017857142857142856
17,0.017857142857142856
19,0.017857142857142856
21,0.0
23,0.017857142857142856
25,0.05357142857142857
27,0.05357142857142857
29,0.05357142857142857
1,0.03636363636363636
3,0.03636363636363636
5,0.03636363636363636
7,0.03636363636363636
9,0.05454545454545454
11,0.05454545454545454
13,0.03636363636363636
15,0.03636363636363636
17,0.03636363636363636
19,0.05454545454545454
21,0.05454545454545454
23,0.05454545454545454
25,0.07272727272727272
27,0.05454545454545454
29,0.05454545454545454
1,0.038461538461538464
3,0.057692307692307696
5,0.057692307692307696
7,0.09615384615384616
9,0.07692307692307693
11,0.07692307692307693
13,0.09615384615384616
15,0.11538461538461539
17,0.1346153846153846
19,0.11538461538461539
21,0.09615384615384616
23,0.11538461538461539
25,0.11538461538461539
27,0.11538461538461539
29,0.11538461538461539
1,0.07547169811320754
3,0.07547169811320754
5,0.07547169811320754
7,0.07547169811320754
9,0.03773584905660377
11,0.03773584905660377
13,0.05660377358490566
15,0.05660377358490566
17,0.05660377358490566
19,0.05660377358490566
21,0.05660377358490566
23,0.05660377358490566
25,0.07547169811320754
27,0.05660377358490566
29,0.05660377358490566
1,0.03225806451612903
3,0.03225806451612903
5,0.06451612903225806
7,0.03225806451612903
9,0.04838709677419355
